sample,XRF_depth_cm,Phytol_%,Cholesterol_%,Cholestanol_%,Brassicasterol_%,Campesterol_plus_x_%,Campestanol_plus_x_%,Stigmasterol_%,unknownM48620.75min_%,Fungisterol_%,Sitosterol_plus_x_%,Chondrillasterol_%,Sitostanol_%,b_Amyrin_%,unknown_d5unsaturated_C30sterolM498_%,a_Amyrin_plus_22dihydrochondrillasterol_plus_Lupeol_%,Triterpenoid_mz_189_371_plus_x_%,Dinostanol_plus_x_%,maybe_Lanosterol_plus_x_%,Friedelin_plus_x_%,Tetrahymanol_%,Diplopterol_%,C13.0.FAME_%,C14.0.FAME_%,C15.0.FAME_%,C16.0.FAME_%,C17.0.FAME_%,C18.0.FAME_%,C20.0.FAME_%,C21.0.FAME_%,C22.0.FAME_%,C23.0.FAME_%,C24.0.FAME_%,C25.0.FAME_%,C26.0.FAME_%,C27.0.FAME_%,C28.0.FAME_%,C29.0.FAME_%,C30.0.FAME_%,C31.0.FAME_%,C32.0.FAME_%,C33.0.FAME_%,C34.0.FAME_%,C36.0.FAME_%
3_A_48-50_EDGE,607.3,5.90803356,1.375808336,0.718221484,2.427093289,2.277641732,0.441522601,0.86852705,0.358683737,0.631966585,5.200060183,2.13160621,1.525259893,3.357962988,1.183656333,2.374144738,2.141854318,0.200094285,0.759213911,5.142841587,0.854008899,1.482559448,0.010236949,0.204572517,0.189591617,2.636222324,0.255507578,1.405957496,2.502809083,0.47672554,4.807454147,0.76843696,6.661590245,1.132056702,12.03540565,1.245495409,16.34316354,0.747130791,5.067622449,0.243273176,1.54469728,0.05426415,0.283804834,0.023220396
4_C_48-50_EDGE,968.3,12.45881437,1.850330408,1.28286493,0.724645325,1.829527193,4.152552879,0.810169654,0.336318644,0.316671163,2.407394279,0,2.117305002,0.923431603,0.805546718,1.353364715,0.182605999,0.997976457,1.293266538,0.173360126,0.39063815,0.591735896,0.033436876,0.739070269,0.464080785,8.625561123,0.513083104,3.251832316,3.005859892,0.98946251,4.523778781,1.217755666,7.827111575,1.457194448,12.05975893,1.718924481,11.33990526,0.978701216,4.21688975,0.300739722,1.209300364,0.118566395,0.29132359,0.119142893
1_B_8-10_EDGE,119.8,11.37290726,3.321809046,2.25742657,1.933823107,5.641617007,3.306213699,1.875340553,0.21443603,0.460062755,7.633922667,0,6.351205324,1.228133626,1.902632411,1.809060326,1.173549909,1.125594216,1.567332437,1.76617312,1.002001085,1.02149527,0,0.352881748,0.322115797,5.965629045,0.439619488,2.859009371,3.201882917,0.557864528,5.209083196,0.928167959,5.965999717,1.010086936,5.945241969,0.835499432,5.47856327,0.611982947,2.490929984,0.236860753,0.623844518,0,0,0
2_A_78-80_EDGE,365.3,6.248612868,1.779834444,0.915170265,0.733348358,1.521243288,4.424333067,0.925271482,0.054546572,0.36162357,4.781916152,0.896988074,3.648559599,3.789976638,0.494959636,1.739429576,0.95355489,0.305460804,0.169700446,3.759672986,0.329299676,1.111133876,0.034869702,0.668088645,0.502643039,6.00463681,0.569043854,2.329963786,3.309283065,0.462209024,5.531670114,0.682555862,6.303996909,0.947417212,10.32328645,1.233422957,13.85810972,0.672169142,5.626634407,0.300102006,1.673745678,0,0,0.021515348
2_C_18-20_EDGE,504.8,6.453752187,1.854469105,0.740567231,1.383501629,1.837272412,0.610759941,0.827105425,0.135909342,0.331729741,6.038257912,0.865936665,1.241490235,2.123514129,1.274774155,1.726326011,1.751288951,0.267713667,0.330620277,5.602793285,0.507579788,1.397924661,0.06839172,0.692727865,0.452135565,4.900650545,0.466441996,1.835410435,2.54279367,0.295986103,4.146509707,0.573391292,5.507539822,0.991592701,12.23653482,1.234365859,17.26384962,0.758502554,6.118703584,0.280981797,1.82625083,0.061064035,0.424220577,0.018668148
3_B_38-40_EDGE,697.8,5.211969457,1.45021659,0.920441225,0.489201759,1.853634155,3.471941397,0.967970306,0.48340553,0.520501398,3.437164021,0,5.316301585,3.820874406,1.086213385,1.333132757,0.281696748,0.724296823,0.434717203,3.718860768,1.002747682,2.950280752,0.013082038,0.627937808,0.257215947,6.527359649,0.370144713,2.777816792,2.830144944,0.558872345,4.344583188,0.740674192,6.402118378,1.056951691,9.626263514,1.075035684,14.56415559,0.808008209,5.256478166,0.355908378,1.957496078,0.076953163,0.27991713,0.017314462
4_B_38-40_EDGE,874.3,4.136628792,1.415008291,1.171849516,2.330515726,1.664026313,0.874492702,0.821759473,0.364738162,0.194819982,14.13104035,0,4.195221267,4.734272047,0.515613787,3.786538749,1.312471458,0.452626876,2.153273486,5.092711516,0.793342122,3.283522344,0,0.204418244,0.212088722,5.999080986,0.27767131,2.968475056,2.98074782,0.484390697,4.37178904,0.689192465,6.288258011,0.942701768,6.503414925,0.849505458,7.296542368,0.730229523,4.272839871,0.277287786,1.180870116,0.026846674,0,0.019176195
6_B_88-90_EDGE,278.8454545,5.844119493,1.004035031,0.610895875,0.714477449,1.002857967,0.381368523,0.670926105,0,0.293088772,6.693959226,0.867495683,1.677315262,1.330081576,1.353622843,2.808473133,3.953755766,0,0.145955854,3.21220586,0.323692419,0.875735126,0,0.447247711,0.241066187,4.233879183,0.337163562,1.711816756,2.726433896,0.526560956,5.174942339,0.834599114,6.550089186,1.215697606,11.50453413,1.589555884,17.28847712,0.982036182,7.751141814,0.362339757,2.281818991,0.073718534,0.382250344,0.020568787
1_A_68-70_EDGE,79.3,#NV,#NV,#NV,#NV,#NV,#NV,#NV,#NV,#NV,#NV,#NV,#NV,#NV,#NV,#NV,#NV,#NV,#NV,#NV,#NV,#NV,0.153620868,1.816079212,1.361032989,10.03496671,1.056870514,4.778327481,4.648998558,1.085952415,8.83952949,2.585552111,15.97862309,2.999541532,15.33847912,2.479146566,13.34140784,1.745256229,7.611931106,0.742101698,2.709748937,0.19604623,0.471126804,0.025660501
7_B_98-100_EDGE,558.6114286,6.586818924,1.54556571,0.688014451,1.463936876,1.842479378,0.30857493,0.67994127,0.236813318,0.304986849,5.424280816,0.847684037,1.495332582,2.987974103,1.217256337,1.772511806,2.196802334,0.189899165,0.446716032,5.281654613,0.753496922,1.430747131,0.124940359,0.712662905,0.409324732,3.623657234,0.404373535,1.889423156,3.293396929,0.484521035,4.74626377,0.751730943,6.221720448,1.111234255,11.93981134,1.26348356,15.48711183,0.850058619,5.954897353,0.374821078,2.065422733,0.087032758,0.473148754,0.029475094
8_A_98-100_EDGE,694.6631579,#NV,#NV,#NV,#NV,#NV,#NV,#NV,#NV,#NV,#NV,#NV,#NV,#NV,#NV,#NV,#NV,#NV,#NV,#NV,#NV,#NV,0,0.729166104,0.331095423,8.311053259,0.485210531,3.818129769,4.122759164,0.992926189,7.476023038,1.449330157,11.39533586,1.910235152,16.48635559,1.958126061,24.99185314,1.547632551,9.008352104,0.814145462,3.418258678,0.17950089,0.521218734,0.05329214
