sample,Phytol_%,Cholesterol_%,Cholestanol_%,Brassicasterol_%,Campesterol_plus_x_%,Campestanol_plus_x_%,Stigmasterol_%,Fungisterol_%,Sitosterol_plus_x_%,Chondrillasterol_%,Sitostanol_%,b_Amyrin_%,unknown_d5_unsaturated_C30_sterol_M498_%,a_Amyrin_plus_22_dihydrochondrillasterol_plus_Lupeol_%,Triterpenoid_mz_189_371_plus_x_%,Dinostanol_plus_x_%,maybe_Lanosterol_plus_x_%,Friedelin_plus_x_%,Tetrahymanol_%,Diplopterol_%
1_B_58-60_EDGE,0.289530375,0.04911676,0.039982766,0.025247738,0.046186988,0.016458423,0.063593279,0.016889272,0.132701422,0.030676433,0.07014218,0.051960362,0.015165877,0.05618268,0.024816889,0.005256355,0.011891426,0.005256355,0.008358466,0.040585954
2_A_58-60_EDGE,0.185291216,0.038700064,0.024420361,0.024420361,0.028766358,0.011658308,0.031594705,0.015107512,0.171908306,0.049668532,0.040424666,0.045322535,0.033319307,0.08912742,0.084160567,0.002214389,0.001034761,0.086988914,0.009588786,0.026282931
2_B_8-10_EDGE,0.172534347,0.052502453,0.025147203,0.032691364,0.032262022,0.015763003,0.030053974,0.014352306,0.172350343,0.050785083,0.045694308,0.039990186,0.035390088,0.08482581,0.069921492,0,0.005213445,0.08047105,0.007912169,0.032139352
3_A_98-100_EDGE,0.146633803,0.038880588,0.020340055,0.025193312,0.045369775,0.012978373,0.021594268,0.012160408,0.142325855,0.046514925,0.025411436,0.109443675,0.028465171,0.055076289,0.042206978,0.004973225,0.045642429,0.100500594,0.030319224,0.045969615
4_B_18-20_EDGE,0.103995207,0.028947119,0.01627093,0.021126983,0.024154132,0.011162615,0.014063633,0.002964084,0.230315643,0.03254186,0.044335131,0.107148488,0.015072683,0.087219752,0.028127266,0.012203197,0.041434112,0.093526314,0.016649324,0.068741526
4_C_78-80_EDGE,#NV,#NV,#NV,#NV,#NV,#NV,#NV,#NV,#NV,#NV,#NV,#NV,#NV,#NV,#NV,#NV,#NV,#NV,#NV,#NV
5_B_48-50_EDGE,#NV,#NV,#NV,#NV,#NV,#NV,#NV,#NV,#NV,#NV,#NV,#NV,#NV,#NV,#NV,#NV,#NV,#NV,#NV,#NV
6_B_68-70_EDGE,0.201752263,0.036836246,0.02250835,0.014715136,0.029188247,0.011181567,0.030930829,0.008858125,0.189602594,0.032673411,0.051406167,0.036158575,0.035868145,0.082821046,0.077351275,0,0.006147442,0.096084031,0.007890024,0.028026526
1_A_28-30_EDGE,0.251165348,0.062304582,0.054401979,0.060013973,0.077880728,0.028289029,0.047644681,0.006871829,0.10926208,0,0.072154204,0.048102803,0.042147217,0.049362638,0.013400066,0.002748732,0.00481028,0.004088738,0.027750736,0.037600357
7_B_78-80_EDGE,0.122425711,0.034062567,0.015321029,0.017458847,0.04517922,0.01425212,0.018456495,0.008765054,0.129337989,0.031069622,0.029003064,0.07004917,0.088220623,0.048599729,0.087436756,0,0.006912278,0.186774033,0.016817502,0.029858191
8_A_78-80_EDGE,0.126369926,0.03808241,0.027551583,0.016775853,0.052286781,0.019469785,0.020082042,0.014204372,0.162125758,0.058286904,0.037347701,0.129308761,0.01738811,0.057429743,0.042613115,0.006796057,0.011387988,0.077634237,0.032939448,0.051919427
9_A_88-90_EDGE,0.249137033,0.037173962,0.043250475,0.038042035,0.106109193,0.024459241,0.025684757,0.001123389,0.185512367,0,0.106313446,0.021395453,0.016238077,0.061275761,0.011744521,0.011979411,0.030484691,0.003727609,0.007046713,0.019301865
1_A_98-100_EDGE,0.275164187,0.056560783,0.042487602,0.044095966,0.053612116,0.015949605,0.030290846,0.004959121,0.164455167,0,0.080686235,0.039270875,0.008443908,0.04624045,0.017557968,0.011928696,0.026269937,0.013403029,0.017423938,0.051199571
1_C_28-30_EDGE,0.24672923,0.038594516,0.026648595,0.021249957,0.030209398,0.0094189,0.020905363,0.009074306,0.192513123,0.03124318,0.062256631,0.042729643,0.030439127,0.082357941,0.08752685,0.001803375,0.005421611,0.028141835,0.012060786,0.020675634
3_A_38-40_EDGE,0.130620699,0.029865705,0.017304737,0.018240128,0.043027995,0.008351707,0.019843656,0.021513997,0.114451794,0.09300461,0.033473642,0.091467896,0.033607269,0.075432618,0.055121267,0,0.016770228,0.149796218,0.021313556,0.026792276
4_C_18-20_EDGE,0.137134988,0.039564903,0.042482668,0.019140543,0.045633855,0.016222777,0.029527789,0.006885927,0.20634439,0,0.05765505,0.12826498,0.008519876,0.111808781,0.012021195,0.010527299,0.049485306,0.045167013,0.017039752,0.016572909
5_C_78_80 EGDE + 80-82 EXTRA,#NV,#NV,#NV,#NV,#NV,#NV,#NV,#NV,#NV,#NV,#NV,#NV,#NV,#NV,#NV,#NV,#NV,#NV,#NV,#NV
1_B_68-70_EDGE,0.24368999,0.049247221,0.037186677,0.024992127,0.045093034,0.016750755,0.029146314,0.016147728,0.154441965,0.053736424,0.06673501,0.053334405,0.013936629,0.073636321,0.034104538,0.007283228,0.011055499,0.011323511,0.012663571,0.045495052
2_A_68-70_EDGE,0.186610201,0.044952061,0.020346722,0.023777274,0.027444416,0.010350804,0.027681006,0.008162348,0.185486399,0.033714046,0.037972662,0.046903927,0.036493976,0.076122766,0.100432368,0.002596573,0.00230675,0.094162738,0.009995919,0.024487044
2_B_98-100_EDGE,0.145499703,0.055929345,0.023076068,0.032575252,0.041750074,0.015152358,0.019971456,0.00903581,0.17117067,0.031648502,0.040637974,0.062045893,0.035309164,0.060887456,0.07001594,0.005782918,0.011074659,0.112461076,0.013854908,0.042120774
3_B_28-30_EDGE,0.143172524,0.037679431,0.021424646,0.012873418,0.046808194,0.09915885,0.025383548,0.013553417,0.075032836,0.023939713,0.125986232,0.098227343,0.029994504,0.032556147,0.004657532,0.015938073,0.012016432,0.082904064,0.023939713,0.074753384
4_B_28-30_EDGE,0.054635535,0.026240723,0.021475616,0.019909006,0.028460087,0.020365934,0.009921865,0.003394322,0.245957819,0,0.087423383,0.107750152,0.012598158,0.090732847,0.028394812,0.013035503,0.060053395,0.088578758,0.013185637,0.067886447
4_C_8-10_EDGE,0.075934579,0.029459569,0.031745226,0.018031288,0.033015035,0.014983746,0.019301097,0.007110931,0.143742381,0.091934173,0,0.199766355,0.003809427,0.11961601,0.015745632,0,0.056379521,0.076950427,0.020316944,0.042157659
5_B_58-60_EDGE,#NV,#NV,#NV,#NV,#NV,#NV,#NV,#NV,#NV,#NV,#NV,#NV,#NV,#NV,#NV,#NV,#NV,#NV,#NV,#NV
