age_BP_1950,.derivative,.se,.crit,.lower_ci,.upper_ci,d2H.C16.phytol.fitted,signif
5648.701418,0.000509318,0.005377823,1.959963985,-0.010031021,0.011049657,269.5467069,#NV
5713.087679,0.000341915,0.005402585,1.959963985,-0.010246956,0.010930786,269.5741123,#NV
5777.47394,0.000172189,0.005377856,1.959963985,-0.010368216,0.010712593,269.5906647,#NV
5841.8602,-3.12E-07,0.005315611,1.959963985,-0.010418719,0.010418094,269.5962183,#NV
5906.246461,-0.000174389,0.005242294,1.959963985,-0.010449096,0.010100319,269.590627,#NV
5970.632722,-0.000350445,0.005202172,1.959963985,-0.010546516,0.009845625,269.5737439,#NV
6035.018983,-0.000533383,0.0052247,1.959963985,-0.010773606,0.00970684,269.5453232,#NV
6099.405244,-0.000723232,0.005302213,1.959963985,-0.011115378,0.009668913,269.5049175,#NV
6163.791505,-0.000926649,0.005385354,1.959963985,-0.011481748,0.00962845,269.4518467,#NV
6228.177766,-0.001142605,0.005437442,1.959963985,-0.011799795,0.009514585,269.3852831,#NV
6292.564027,-0.001372034,0.005442639,1.959963985,-0.012039411,0.009295343,269.3043961,#NV
6356.950288,-0.001613978,0.005409114,1.959963985,-0.012215647,0.008987691,269.2083551,#NV
6421.336549,-0.001869535,0.005365912,1.959963985,-0.01238653,0.00864746,269.0963024,#NV
6485.72281,-0.002140439,0.005326707,1.959963985,-0.012580593,0.008299714,268.9672687,#NV
6550.109071,-0.002427735,0.005294427,1.959963985,-0.012804621,0.007949151,268.8202563,#NV
6614.495332,-0.002730717,0.005286039,1.959963985,-0.013091162,0.007629728,268.6542677,#NV
6678.881592,-0.003048787,0.005317004,1.959963985,-0.013469924,0.00737235,268.468301,#NV
6743.267853,-0.003382851,0.005363758,1.959963985,-0.013895624,0.007129921,268.2613241,#NV
6807.654114,-0.003734,0.005398524,1.959963985,-0.014314913,0.006846914,268.0322909,#NV
6872.040375,-0.004101753,0.005414655,1.959963985,-0.014714281,0.006510775,267.7801551,#NV
6936.426636,-0.00448407,0.005420469,1.959963985,-0.015107994,0.006139853,267.5038691,#NV
7000.812897,-0.004887561,0.005415785,1.959963985,-0.015502305,0.005727182,267.2022917,#NV
7065.199158,-0.005309242,0.005398778,1.959963985,-0.015890652,0.005272169,266.8741394,#NV
7129.585419,-0.005752534,0.005387744,1.959963985,-0.016312319,0.004807251,266.5181166,#NV
7193.97168,-0.006217755,0.005411147,1.959963985,-0.016823408,0.004387898,266.1329064,#NV
7258.357941,-0.00670709,0.00544501,1.959963985,-0.017379113,0.003964933,265.7169906,#NV
7322.744202,-0.007221952,0.00545987,1.959963985,-0.017923101,0.003479198,265.2686881,#NV
7387.130463,-0.007765202,0.005451229,1.959963985,-0.018449414,0.002919011,264.7863227,#NV
7451.516723,-0.008329817,0.005423898,1.959963985,-0.018960462,0.002300827,264.2683333,#NV
7515.902984,-0.008915428,0.005402469,1.959963985,-0.019504073,0.001673218,263.7132481,#NV
7580.289245,-0.009508207,0.005403016,1.959963985,-0.020097924,0.00108151,263.1201786,#NV
7644.675506,-0.010106294,0.00540143,1.959963985,-0.020692903,0.000480314,262.4887629,#NV
7709.061767,-0.010709994,0.005392261,1.959963985,-0.021278632,-0.000141356,261.8186619,261.8186619
7773.448028,-0.011318792,0.005389726,1.959963985,-0.02188246,-0.000755123,261.1095409,261.1095409
7837.834289,-0.011918458,0.005402462,1.959963985,-0.022507088,-0.001329828,260.3614192,260.3614192
7902.22055,-0.01249607,0.005405074,1.959963985,-0.023089821,-0.00190232,259.5753158,259.5753158
7966.606811,-0.013046422,0.005386471,1.959963985,-0.023603711,-0.002489133,258.7528498,258.7528498
8030.993072,-0.013558491,0.005350741,1.959963985,-0.024045751,-0.00307123,257.8961275,257.8961275
8095.379333,-0.014030727,0.005319406,1.959963985,-0.024456571,-0.003604882,257.0077226,257.0077226
8159.765594,-0.014448966,0.005313777,1.959963985,-0.024863778,-0.004034154,256.0906433,256.0906433
8224.151854,-0.01481576,0.005337258,1.959963985,-0.025276593,-0.004354926,255.1482182,255.1482182
8288.538115,-0.015128333,0.005369422,1.959963985,-0.025652206,-0.004604459,254.1839425,254.1839425
8352.924376,-0.015383435,0.005381181,1.959963985,-0.025930356,-0.004836513,253.2014184,253.2014184
8417.310637,-0.015582477,0.005362525,1.959963985,-0.026092832,-0.005072121,252.2042565,252.2042565
8481.696898,-0.015725842,0.005326025,1.959963985,-0.02616466,-0.005287024,251.1960671,251.1960671
8546.083159,-0.015813835,0.005304178,1.959963985,-0.026209833,-0.005417836,250.1804378,250.1804378
8610.46942,-0.01584921,0.005317993,1.959963985,-0.026272284,-0.005426136,249.1608187,249.1608187
8674.855681,-0.015837974,0.005358609,1.959963985,-0.026340655,-0.005335293,248.1404746,248.1404746
8739.241942,-0.015775162,0.005413691,1.959963985,-0.026385802,-0.005164523,247.1225719,247.1225719
8803.628203,-0.015665768,0.005469119,1.959963985,-0.026385044,-0.004946492,246.1101845,246.1101845
8868.014464,-0.015514457,0.005501677,1.959963985,-0.026297546,-0.004731369,245.1061508,245.1061508
8932.400725,-0.015320873,0.005511103,1.959963985,-0.026122437,-0.00451931,244.1132716,244.1132716
8996.786985,-0.015083601,0.005515152,1.959963985,-0.025893101,-0.004274101,243.1343264,243.1343264
9061.173246,-0.014810333,0.00552686,1.959963985,-0.02564278,-0.003977886,242.1717773,242.1717773
9125.559507,-0.014512222,0.005546003,1.959963985,-0.025382188,-0.003642256,241.2275558,241.2275558
9189.945768,-0.014197023,0.005563141,1.959963985,-0.025100578,-0.003293467,240.303173,240.303173
9254.332029,-0.013863396,0.005571537,1.959963985,-0.024783407,-0.002943384,239.3997296,239.3997296
9318.71829,-0.013514241,0.005577202,1.959963985,-0.024445356,-0.002583126,238.518249,238.518249
9383.104551,-0.013162055,0.005586646,1.959963985,-0.02411168,-0.00221243,237.6594231,237.6594231
9447.490812,-0.012809818,0.00558651,1.959963985,-0.023759176,-0.00186046,236.8233754,236.8233754
9511.877073,-0.012462704,0.005556541,1.959963985,-0.023353324,-0.001572084,236.009838,236.009838
9576.263334,-0.012122857,0.005472663,1.959963985,-0.022849079,-0.001396636,235.2184184,235.2184184
9640.649595,-0.011786159,0.005333012,1.959963985,-0.02223867,-0.001333647,234.4487226,234.4487226
