XRF_TrueSurface,age_BP_1950,RABD_660670,RABD_660670norm,RABD_671,RABD_715,RABD_845,RABD_620,RMean,TChl_ug_gsed,TChl_ug_gTOC
64.8,195.54466,1.103576742,5.973420112,1.031298989,0.995055011,0.996520652,1.003863966,0.170186135,36.78355847,875.819864
65.3,213.01246,1.102492889,6.177469111,1.030459556,0.995113122,0.996409067,1.004136456,0.1645293,36.40812492,866.9013982
65.8,230.48026,1.103659438,6.013508427,1.031977079,0.994540303,0.995996326,1.004167921,0.16947409,36.81220359,876.5436481
66.3,247.94806,1.108884944,6.063058202,1.03409618,0.993620011,0.996438449,1.003105551,0.168678809,38.62225594,919.6651095
66.8,265.41586,1.097992247,5.950484607,1.029559101,0.995038753,0.996492494,1.003754225,0.170623618,34.84915672,829.8406172
67.3,282.88366,1.093042022,6.224475393,1.02847382,0.995197697,0.996448663,1.004166798,0.162725157,33.13445836,789.0283936
67.8,300.35146,1.097501573,6.327875393,1.028659663,0.995542921,0.996526326,1.004501303,0.160191258,34.67919309,825.8327124
68.3,317.81926,1.105967753,6.163852809,1.031561124,0.994623371,0.996105742,1.004283775,0.165260213,37.61177603,895.6890843
68.8,335.28706,1.102226292,6.031284045,1.030896517,0.995018056,0.996068258,1.00437682,0.168035438,36.31577901,864.8467293
69.3,352.75486,1.101358667,6.072447556,1.030684556,0.994611511,0.996153856,1.004920656,0.166839867,36.01524397,857.7100255
69.8,370.22266,1.09963764,6.030598876,1.029641573,0.995568056,0.996094393,1.004466056,0.167890315,35.41910117,843.5328579
70.3,379.342306,1.09949236,6.073930787,1.029977865,0.994977843,0.996609697,1.004271618,0.166891618,35.36877762,842.3544256
70.8,382.896516,1.101209326,6.141137416,1.03032573,0.995293191,0.996013607,1.004122382,0.165087978,35.96351411,856.5392648
71.3,386.450726,1.098339888,5.917516966,1.029849326,0.994582416,0.99612464,1.00346127,0.171475989,34.96957519,832.8865619
71.8,390.004936,1.102232809,5.932748989,1.03110236,0.995013539,0.995807539,1.004080034,0.17163318,36.31803637,865.0240888
72.3,393.559146,1.098166742,5.89048427,1.030332472,0.99579091,0.995993258,1.004744461,0.172540775,34.90959948,831.497701
72.8,397.113356,1.096158764,5.82831191,1.029126067,0.995421348,0.996015101,1.00463536,0.173637,34.21406019,814.9503416
73.3,400.667566,1.094903,6.004562444,1.027737111,0.995597622,0.9959924,1.005473244,0.167630567,33.77907862,804.6086089
73.8,404.221776,1.098435169,6.000478764,1.029254831,0.995208809,0.996563337,1.003994663,0.16887082,35.00257935,833.771929
74.3,407.775986,1.099884382,6.029691685,1.029112697,0.995285326,0.99607982,1.00509727,0.167926843,35.50456949,845.7496305
74.8,411.330196,1.101025281,6.220950787,1.029918202,0.995606348,0.996298079,1.004732225,0.162803101,35.89976315,855.1838574
75.3,414.884406,1.099490674,6.069625281,1.028835506,0.995228528,0.996152831,1.005073876,0.166915506,35.36819382,842.541184
75.8,418.438616,1.09145618,6.044557978,1.026315618,0.99575664,0.996543809,1.00463709,0.166882876,32.58514151,776.2617984
76.3,421.992826,1.097635955,6.28167809,1.028188202,0.996080708,0.996067865,1.004843191,0.161086708,34.72574141,827.2760961
76.8,425.547036,1.092570562,6.19326618,1.025434607,0.99691791,0.995648775,1.005250764,0.162696236,32.97115005,785.4949387
77.3,429.101246,1.086156889,5.984226111,1.024187444,0.996809378,0.996170056,1.004716567,0.167822589,30.74953082,732.5851913
77.8,432.655456,1.079918202,6.078746854,1.022071461,0.997489371,0.996058169,1.005247236,0.164053506,28.58852474,681.1170214
78.3,436.209666,1.090063933,6.053222135,1.02446382,0.997340202,0.996532157,1.005556022,0.165652067,32.10288381,764.864286
78.8,439.763876,1.096871461,6.208956854,1.027910562,0.995960618,0.995952506,1.005557652,0.162328663,34.46092974,821.0652532
79.3,443.318086,1.09630191,6.24748382,1.027189326,0.996129202,0.996163753,1.005506865,0.161100629,34.26364427,816.3841856
79.8,446.872296,1.076894831,7.005772584,1.017587416,0.998698326,0.995945921,1.005169596,0.143194506,27.54126543,659.568341
80.3,450.21131,1.079830562,6.452707753,1.01940382,0.997863034,0.995680854,1.005157157,0.154644562,28.55816714,687.4363224
80.8,453.40686,1.102497528,6.221584157,1.029630899,0.996266955,0.996523584,1.005863865,0.162349247,36.40973189,880.9623124
81.3,456.60241,1.103036444,6.333899111,1.029330222,0.996124578,0.996700522,1.00518,0.159385611,36.59640604,890.0770026
81.8,459.79796,1.102377753,6.360601348,1.029813596,0.996221865,0.996325888,1.005747775,0.158791798,36.36824317,889.1447508
82.3,462.99351,1.109678764,6.466596404,1.031741685,0.995775348,0.996194101,1.005768169,0.156996663,38.89722573,955.9641606
82.8,466.18906,1.109627528,6.477594494,1.032685955,0.995467225,0.996641618,1.006897191,0.157266921,38.87947821,960.5682008
83.3,469.38461,1.112338427,6.533089326,1.03373191,0.995200124,0.997406056,1.00682927,0.156325449,39.818501,988.9846754
83.8,472.58016,1.107786067,6.569004045,1.032471011,0.995851506,0.996346427,1.006484404,0.154782101,38.24161836,954.8826638
84.3,475.77571,1.105104045,6.41702427,1.030590337,0.99597509,0.996508191,1.007057865,0.157786258,37.312598,936.6787498
84.8,478.97126,1.108607978,6.326737528,1.031024944,0.995935562,0.996207247,1.006438955,0.160453348,38.52631815,972.3588998
85.3,482.16681,1.116631889,6.628077667,1.033992444,0.996145167,0.996537111,1.006698622,0.153805678,41.30570462,1048.155314
85.8,485.36236,1.107429438,6.814129888,1.030351685,0.995847618,0.997038034,1.005933831,0.148926461,38.11808628,972.536613
86.3,488.55791,1.111738202,6.525159213,1.031845843,0.995959742,0.996114292,1.006210258,0.15587636,39.61059037,1016.151211
86.8,491.75346,1.104616404,6.414298876,1.030106742,0.996515831,0.996868854,1.005819596,0.157690854,37.14368521,958.1140184
87.3,494.94901,1.108597079,6.465899663,1.0305,0.997115326,0.996070371,1.006798079,0.15711773,38.52254291,999.1840771
87.8,498.14456,1.106706854,6.29870191,1.030822584,0.996148247,0.99641864,1.006399371,0.16090282,37.86779178,987.6707862
88.3,501.34011,1.115177079,6.566826966,1.031578652,0.996313022,0.996188978,1.007551573,0.154751494,40.80177584,1070.154375
88.8,504.53566,1.114861798,6.529196854,1.033342584,0.995659955,0.996989393,1.00661736,0.156232944,40.69256632,1073.300179
89.3,507.73121,1.119337444,6.662229333,1.034522111,0.995501889,0.996628578,1.008443778,0.153020144,42.24287655,1120.500704
89.8,510.92676,1.114875281,6.715820674,1.03286573,0.996464213,0.996876517,1.007210596,0.150971382,40.69723672,1054.414507
90.3,517.64869,1.114207191,6.704575056,1.032534944,0.997185303,0.996648854,1.008053112,0.15117882,40.46581841,1024.606735
90.8,526.72154,1.112848764,6.618106517,1.033024719,0.996706966,0.996512146,1.007208416,0.153382326,39.99527564,990.20266
