age_BP_1950,.fitted,.se,.lower_ci,.upper_ci
3910.272373,266.4231311,6.22046488,254.231244,278.6150183
3974.658634,266.5797545,6.222016898,254.3848255,278.7746835
4039.044895,266.7320213,6.227627388,254.5260959,278.9379467
4103.431156,266.8802023,6.236315255,254.657249,279.1031556
4167.817417,267.0246848,6.248032617,254.7787659,279.2706037
4232.203678,267.1660055,6.263663485,254.8894506,279.4425603
4296.589938,267.3047113,6.283729686,254.9888274,279.6205951
4360.976199,267.441349,6.308077966,255.0777433,279.8049546
4425.36246,267.5764654,6.335807854,255.1585102,279.9944206
4489.748721,267.7105858,6.365419913,255.234592,280.1865795
4554.134982,267.8439548,6.395607746,255.308794,280.3791157
4618.521243,267.9766207,6.425225672,255.3834098,280.5698316
4682.907504,268.1085602,6.453111329,255.4606945,280.756426
4747.293765,268.2393683,6.478859988,255.5410361,280.9377005
4811.680026,268.3685046,6.502302357,255.6242261,281.112783
4876.066287,268.4954068,6.523243085,255.7100853,281.2807284
4940.452548,268.6193219,6.542216556,255.796813,281.4418307
5004.838809,268.7393978,6.559995521,255.8820429,281.5967528
5069.225069,268.8547821,6.576943332,255.96421,281.7453541
5133.61133,268.9646219,6.592869528,256.0428351,281.8864087
5197.997591,269.0680646,6.606992329,256.1185976,282.0175316
5262.383852,269.1642577,6.618001827,256.1932124,282.1353029
5326.770113,269.2523483,6.624220461,256.2691148,282.2355818
5391.156374,269.3314839,6.623858042,256.3489607,282.3140071
5455.542635,269.4008317,6.615445156,256.4347974,282.3668659
5519.928896,269.4599206,6.599580813,256.5249799,282.3948613
5584.315157,269.5085943,6.578457635,256.6150543,282.4021344
5648.701418,269.5467069,6.554057344,256.7009905,282.3924232
5713.087679,269.5741123,6.527742882,256.7799714,282.3682533
5777.47394,269.5906647,6.500052049,256.8507968,282.3305327
5841.8602,269.5962183,6.47065419,256.9139691,282.2784674
5906.246461,269.590627,6.43847649,256.9714449,282.209809
5970.632722,269.5737439,6.402009428,257.026036,282.1214519
6035.018983,269.5453232,6.360245564,257.079471,282.0111755
6099.405244,269.5049175,6.313481639,257.1307209,281.8791142
6163.791505,269.4518467,6.263124389,257.1763485,281.727345
6228.177766,269.3852831,6.210880583,257.2121808,281.5583854
6292.564027,269.3043961,6.157777038,257.2353749,281.3734173
6356.950288,269.2083551,6.103934438,257.2448635,281.1718468
6421.336549,269.0963024,6.048846377,257.2407814,280.9518234
6485.72281,268.9672687,5.992418658,257.2223439,280.7121934
6550.109071,268.8202563,5.934484022,257.1888814,280.4516313
6614.495332,268.6542677,5.87462085,257.1402224,280.168313
6678.881592,268.468301,5.812488546,257.0760328,279.8605692
6743.267853,268.2613241,5.749025338,256.9934415,279.5292067
6807.654114,268.0322909,5.685575528,256.8887676,279.1758142
6872.040375,267.7801551,5.623027067,256.7592246,278.8010857
6936.426636,267.5038691,5.561683859,256.6031691,278.4045692
7000.812897,267.2022917,5.501795216,256.4189713,277.9856122
7065.199158,266.8741394,5.44379992,256.2044876,277.5437912
7129.585419,266.5181166,5.387622747,255.95857,277.0776631
7193.97168,266.1329064,5.332934828,255.6805462,276.5852666
7258.357941,265.7169906,5.280353671,255.3676875,276.0662936
7322.744202,265.2686881,5.23105213,255.0160144,275.5213619
7387.130463,264.7863227,5.185585094,254.6227627,274.9498827
7451.516723,264.2683333,5.144152422,254.1859798,274.3506868
7515.902984,263.7132481,5.106445395,253.704799,273.7216972
7580.289245,263.1201786,5.072643397,253.1779802,273.062377
7644.675506,262.4887629,5.043531825,252.6036222,272.3739036
7709.061767,261.8186619,5.019435494,251.9807491,271.6565747
7773.448028,261.1095409,5.000084075,251.3095562,270.9095256
7837.834289,260.3614192,4.985127626,250.5907486,270.1320898
7902.22055,259.5753158,4.974803634,249.8248799,269.3257518
7966.606811,258.7528498,4.969205998,249.013385,268.4923146
8030.993072,257.8961275,4.967989803,248.1590464,267.6332086
8095.379333,257.0077226,4.970502678,247.2657164,266.7497289
8159.765594,256.0906433,4.976255627,246.3373615,265.8439251
8224.151854,255.1482182,4.985328925,245.3771531,264.9192833
8288.538115,254.1839425,4.998354445,244.3873478,263.9805372
8352.924376,253.2014184,5.01621675,243.3698143,263.0330226
8417.310637,252.2042565,5.039065209,242.3278701,262.0806428
8481.696898,251.1960671,5.066126675,241.2666413,261.1254929
8546.083159,250.1804378,5.096072973,240.1923183,260.1685573
8610.46942,249.1608187,5.128192197,239.1097467,259.2118908
8674.855681,248.1404746,5.162772306,238.0216268,258.2593223
8739.241942,247.1225719,5.20050106,236.9297771,257.3153667
8803.628203,246.1101845,5.242090371,235.8358762,256.3844928
8868.014464,245.1061508,5.28848049,234.7409195,255.4713821
8932.400725,244.1132716,5.339931716,233.6471978,254.5793455
8996.786985,243.1343264,5.395946132,232.5584663,253.7101864
9061.173246,242.1717773,5.455964627,231.4782831,252.8652715
9125.559507,241.2275558,5.519795559,230.4089554,252.0461563
9189.945768,240.303173,5.587373407,229.3521223,251.2542236
9254.332029,239.3997296,5.65860358,228.3090704,250.4903888
9318.71829,238.518249,5.732895724,227.2819798,249.7545181
9383.104551,237.6594231,5.809588771,226.2728384,249.0460079
